Voltage,Current
628.9357,4.78E-06
629.436,4.79E-06
629.9391,4.80E-06
630.4413,4.81E-06
630.9412,4.81E-06
631.4413,4.82E-06
631.9434,4.83E-06
632.4465,4.84E-06
632.9461,4.84E-06
633.447,4.85E-06
633.947,4.86E-06
634.4485,4.87E-06
634.951,4.87E-06
635.4892,4.88E-06
635.9915,4.89E-06
636.4925,4.90E-06
636.9957,4.90E-06
637.4941,4.91E-06
637.9957,4.92E-06
638.4954,4.93E-06
638.9983,4.94E-06
639.4968,4.94E-06
639.9992,4.95E-06
640.4999,4.96E-06
640.9823,4.97E-06
641.4834,4.98E-06
641.9867,4.98E-06
642.4865,4.99E-06
642.9832,5.00E-06
643.485,5.01E-06
643.9875,5.02E-06
644.488,5.02E-06
644.9905,5.03E-06
645.549,5.04E-06
646.0299,5.05E-06
646.53,5.06E-06
647.0313,5.07E-06
647.5339,5.07E-06
648.0346,5.08E-06
648.5359,5.09E-06
649.0366,5.10E-06
649.5384,5.11E-06
650.0383,5.12E-06
546.4291,1.04E-05
550.5258,3.68E-06
551.0283,3.69E-06
551.53,3.69E-06
552.0332,3.70E-06
552.534,3.70E-06
553.0335,3.71E-06
553.5359,3.71E-06
554.0369,3.72E-06
554.5372,3.72E-06
555.0765,3.73E-06
555.5786,3.74E-06
556.0795,3.74E-06
556.5801,3.75E-06
557.0817,3.75E-06
557.5825,3.76E-06
558.0832,3.77E-06
558.5862,3.77E-06
559.0886,3.78E-06
559.588,3.78E-06
560.092,3.79E-06
560.593,3.79E-06
561.093,3.80E-06
561.5952,3.81E-06
562.095,3.81E-06
562.5779,3.82E-06
563.0811,3.82E-06
563.5808,3.83E-06
564.082,3.84E-06
564.5846,3.84E-06
565.142,3.85E-06
565.6426,3.85E-06
566.1438,3.86E-06
566.6469,3.87E-06
567.1445,3.87E-06
567.6267,3.88E-06
568.1268,3.88E-06
568.6282,3.89E-06
569.1306,3.90E-06
569.632,3.90E-06
570.1339,3.91E-06
570.6337,3.91E-06
571.137,3.92E-06
571.6376,3.93E-06
572.1385,3.93E-06
572.64,3.94E-06
573.1411,3.94E-06
573.6425,3.95E-06
574.1445,3.96E-06
574.6443,3.96E-06
575.1821,3.97E-06
575.6864,3.98E-06
576.1879,3.98E-06
576.6868,3.99E-06
577.1895,3.99E-06
577.6901,4.00E-06
578.1915,4.01E-06
578.6932,4.01E-06
579.195,4.02E-06
579.6965,4.03E-06
580.1795,4.03E-06
580.681,4.04E-06
581.1821,4.04E-06
581.6806,4.05E-06
582.1821,4.06E-06
582.6849,4.06E-06
583.186,4.07E-06
583.6874,4.07E-06
584.1893,4.08E-06
584.6908,4.09E-06
585.2297,4.09E-06
585.7307,4.10E-06
586.2341,4.11E-06
586.734,4.11E-06
587.2351,4.12E-06
587.7375,4.13E-06
588.2386,4.13E-06
588.7413,4.14E-06
589.2429,4.14E-06
589.7437,4.15E-06
590.2452,4.16E-06
590.7456,4.16E-06
591.2468,4.17E-06
591.7467,4.18E-06
592.2482,4.18E-06
592.7328,4.19E-06
593.2349,4.20E-06
593.7383,4.20E-06
594.2388,4.21E-06
594.7374,4.21E-06
595.295,4.22E-06
595.7968,4.23E-06
596.299,4.23E-06
596.8013,4.24E-06
597.3018,4.25E-06
597.7842,4.25E-06
598.286,4.26E-06
598.7874,4.27E-06
599.2891,4.27E-06
599.7902,4.28E-06
600.2892,4.29E-06
600.7932,4.29E-06
601.2932,4.30E-06
601.7957,4.31E-06
602.296,4.31E-06
602.799,4.32E-06
603.2989,4.33E-06
603.8003,4.33E-06
604.3016,4.34E-06
604.8023,4.35E-06
605.3411,4.35E-06
605.8434,4.36E-06
606.3455,4.37E-06
606.8437,4.37E-06
607.3465,4.38E-06
607.8478,4.39E-06
608.3492,4.39E-06
608.8508,4.40E-06
609.3513,4.41E-06
609.8541,4.41E-06
610.3358,4.42E-06
610.834,4.43E-06
611.3364,4.43E-06
611.839,4.44E-06
612.3412,4.45E-06
612.8426,4.45E-06
613.3425,4.46E-06
613.845,4.47E-06
614.3455,4.47E-06
614.8467,4.48E-06
615.4042,4.49E-06
615.885,4.50E-06
616.3883,4.50E-06
616.8882,4.51E-06
617.3909,4.52E-06
617.893,4.52E-06
618.3929,4.53E-06
618.8936,4.54E-06
619.3935,4.54E-06
619.8945,4.55E-06
620.3948,4.56E-06
620.8969,4.57E-06
621.3986,4.57E-06
621.9005,4.58E-06
622.4008,4.59E-06
622.9021,4.59E-06
623.3869,4.60E-06
623.8869,4.61E-06
624.3867,4.61E-06
624.89,4.62E-06
625.4474,4.63E-06
625.948,4.64E-06
626.45,4.64E-06
626.9525,4.65E-06
627.4523,4.66E-06
627.9536,4.67E-06
628.4363,4.67E-06
628.9371,4.68E-06
629.4376,4.69E-06
629.9399,4.69E-06
630.4409,4.70E-06
630.9431,4.71E-06
631.4445,4.72E-06
631.9431,4.72E-06
632.4455,4.73E-06
632.9475,4.74E-06
633.4485,4.75E-06
633.9486,4.75E-06
634.4506,4.76E-06
634.9509,4.77E-06
635.4886,4.78E-06
635.9904,4.78E-06
636.491,4.79E-06
