Applied_Voltage,Leakage_Current
37.11229,1.248157e-07
40.1552,1.356651e-07
43.16524,1.464734e-07
46.15321,1.595355e-07
49.16015,1.740961e-07
52.16872,1.891947e-07
55.21524,2.045768e-07
58.21903,2.145781e-07
61.20731,2.34874e-07
64.21429,2.51201e-07
67.20446,2.66999e-07
70.2651,2.833e-07
73.25491,2.994784e-07
76.26373,3.15771e-07
79.2533,3.319203e-07
82.26139,3.485036e-07
85.3083,3.651279e-07
88.31368,3.817132e-07
91.30457,3.988201e-07
94.31507,4.153895e-07
97.32165,4.327528e-07
100.3663,4.506397e-07
103.3756,4.688777e-07
106.3642,4.865458e-07
109.3727,5.047973e-07
112.3577,5.230877e-07
115.4224,5.419822e-07
118.4127,5.60982e-07
121.4204,5.802746e-07
124.4104,5.990139e-07
127.4179,6.203944e-07
130.4638,6.407701e-07
133.4732,6.609475e-07
136.4611,6.844685e-07
139.4683,7.034744e-07
142.4773,7.263504e-07
145.5223,7.513162e-07
148.529,7.705347e-07
151.5201,7.940806e-07
154.5276,8.173499e-07
157.5165,8.380921e-07
160.5804,8.651714e-07
163.5686,8.856993e-07
166.5768,9.091726e-07
169.5653,9.341991e-07
172.573,9.562333e-07
175.6187,9.807231e-07
178.6271,1.004855e-06
181.6158,1.024818e-06
184.6236,1.049978e-06
187.481,1.049997e-06
190.6631,1.045181e-06
193.6697,1.068125e-06
196.6588,1.090269e-06
199.6663,1.112662e-06
202.6537,1.135009e-06
205.719,1.158251e-06
208.7084,1.180878e-06
211.7149,1.203817e-06
214.7041,1.226797e-06
217.7115,1.250199e-06
220.7566,1.274018e-06
223.7634,1.297574e-06
226.7533,1.321157e-06
229.7597,1.345058e-06
232.7699,1.369144e-06
235.8144,1.393757e-06
238.8232,1.418206e-06
241.8126,1.442596e-06
